Ward Code,Ward Name,Borough,Population,Working age population,Child population,16-59 population,Old age population,IMD Extent %,IMD Extent Rank,IMD Average rank,IMD average rank rank,IMD average score,IMD average score rank,Rank of worst LSOA,Worst LSOA Code,Worst LSOA: % of resident in ward,Number of LSOAs,# LSOAs in worst 5%,# LSOAs in worst 10%,# LSOAs in worst 20%,# LSOAs in worst 50%,Income scale,Income score,Income rank,Employment scale,Employment score,Employment rank,IDACI scale,IDACI score,IDACI score rank,IDAOPI scale,IDAOPI score,IDAOPI score (rank)
E05000469,Raynes Park,Merton,9962,6130,2020,6074,1868,0%,438,25344.0,576,9.8,568,11113,E01003447,100%,6.00,0.00,0.00,0.00,1.00,660.1,0.066,558,292.5,0.048,564,156.25,0.077,556,200.89,0.108,534
E05000470,St. Helier,Merton,10856,6607,2420,6651,1785,3%,390,12804.4,269,22.7,279,8982,E01003450,100%,6.00,0.00,0.00,0.00,5.00,1611.1,0.148,253,679.1,0.103,198,451.24,0.186,277,386.85,0.217,316
E05000471,Trinity,Merton,10180,7062,1856,7053,1271,0%,438,24756.3,563,10.0,564,17877,E01003459,100%,6.00,0.00,0.00,0.00,0.00,766.2,0.075,519,388.5,0.055,506,185.14,0.100,501,175.35,0.138,459
E05000472,Village,Merton,8188,4449,1568,4385,2235,0%,438,29460.7,631,5.9,631,25790,E01003460,100%,6.00,0.00,0.00,0.00,0.00,290.6,0.035,628,97.0,0.022,631,47.95,0.031,627,153.89,0.069,614
E05000473,West Barnes,Merton,10202,6067,2134,6091,1977,0%,438,26746.6,604,8.2,603,17934,E01003469,100%,6.00,0.00,0.00,0.00,0.00,668.0,0.065,564,262.3,0.043,583,154.55,0.072,566,198.53,0.100,553
E05000474,Wimbledon Park,Merton,11082,7059,2633,7040,1409,0%,438,25463.2,580,9.4,576,16682,E01003475,100%,7.00,0.00,0.00,0.00,0.00,713.5,0.064,566,299.9,0.042,587,224.62,0.085,536,146.15,0.104,544
E05000475,Beckton,Newham,16077,10989,3475,11141,1461,30%,145,8519.4,114,30.3,109,2519,E01003486,100%,9.00,0.00,1.00,3.00,9.00,2743.1,0.171,178,1130.0,0.103,197,680.96,0.196,254,631.95,0.433,28
E05000476,Boleyn,Newham,17201,10793,4303,10996,1902,26%,174,9657.9,161,28.0,164,4059,E01003488,100%,8.00,0.00,0.00,2.00,8.00,2917.6,0.170,182,961.2,0.089,265,790.73,0.184,286,698.51,0.367,82
E05000477,Canning Town North,Newham,16442,11009,3588,11053,1801,66%,22,5707.4,23,35.8,28,4081,E01003499,100%,8.00,0.00,0.00,6.00,8.00,3490.4,0.212,64,1444.2,0.131,57,965.70,0.269,89,709.56,0.394,56
E05000478,Canning Town South,Newham,18184,12642,3755,12742,1687,58%,36,7179.7,63,33.8,49,3005,E01003506,100%,10.00,0.00,1.00,7.00,9.00,3205.7,0.176,148,1157.8,0.092,256,917.75,0.244,141,659.20,0.391,59
E05000479,Custom House,Newham,14142,9117,3454,9230,1458,57%,37,6588.1,42,35.4,29,2533,E01003515,100%,8.00,0.00,2.00,5.00,8.00,2883.1,0.204,78,1146.3,0.126,78,848.28,0.246,136,581.88,0.399,50
E05000480,East Ham Central,Newham,17238,11254,4008,11396,1834,23%,193,9034.6,134,28.3,156,7292,E01003523,100%,8.00,0.00,0.00,0.00,8.00,2487.0,0.144,270,848.6,0.075,372,639.15,0.159,354,632.12,0.345,105
E05000481,East Ham North,Newham,14626,9432,3353,9481,1792,9%,310,10288.0,185,26.0,207,7853,E01003528,100%,7.00,0.00,0.00,0.00,7.00,2352.0,0.161,215,749.1,0.079,341,551.10,0.164,342,679.82,0.379,69
E05000482,East Ham South,Newham,16652,10173,4524,10447,1681,38%,100,7589.1,77,31.6,83,3580,E01003535,100%,8.00,0.00,0.00,2.00,8.00,3130.4,0.188,117,1075.8,0.106,181,945.57,0.209,221,587.74,0.350,102
E05000483,Forest Gate North,Newham,16563,11337,3317,11403,1843,10%,291,10693.2,201,25.5,216,6455,E01003546,100%,8.00,0.00,0.00,1.00,8.00,2390.3,0.144,269,957.1,0.084,298,610.13,0.184,285,540.05,0.293,175
E05000484,Forest Gate South,Newham,17783,12411,3542,12526,1715,43%,80,8023.9,95,31.4,87,3646,E01003556,100%,9.00,0.00,0.00,5.00,9.00,3106.9,0.175,154,1243.9,0.100,212,777.09,0.219,193,637.20,0.372,78
E05000485,Green Street East,Newham,16379,10738,3836,10901,1642,13%,260,9417.8,155,27.4,180,7033,E01003567,100%,8.00,0.00,0.00,0.00,8.00,2683.3,0.164,206,909.1,0.085,296,647.01,0.169,332,615.47,0.375,74
E05000486,Green Street West,Newham,15307,9955,3442,10152,1713,16%,240,9161.4,139,27.9,167,7384,E01003570,100%,7.00,0.00,0.00,0.00,7.00,2525.0,0.165,198,853.7,0.086,289,540.66,0.157,362,750.57,0.438,25
E05000487,Little Ilford,Newham,17976,10879,5078,11128,1770,37%,109,7592.5,78,31.5,86,4012,E01003577,100%,9.00,0.00,0.00,2.00,9.00,3325.5,0.185,130,1142.6,0.105,186,944.31,0.186,279,677.80,0.383,66
E05000488,Manor Park,Newham,15990,10203,3908,10331,1751,31%,143,8002.1,91,30.3,111,4780,E01003590,100%,8.00,0.00,0.00,2.00,8.00,2972.5,0.186,126,1023.5,0.100,210,763.32,0.195,257,756.16,0.432,29
E05000489,Plaistow North,Newham,15998,10328,3646,10468,1884,34%,125,7948.4,90,30.4,108,6110,E01003592,100%,9.00,0.00,0.00,2.00,9.00,3100.5,0.194,101,1112.3,0.108,168,784.96,0.215,207,750.35,0.398,51
E05000490,Plaistow South,Newham,17676,11494,4287,11618,1771,28%,159,8581.1,117,29.4,128,5153,E01003601,100%,8.00,0.00,0.00,2.00,8.00,2847.8,0.161,213,1067.6,0.093,251,817.06,0.191,267,533.68,0.301,165
E05000491,Royal Docks,Newham,12672,9358,2627,9317,728,16%,244,13695.0,293,22.5,286,5906,E01033581,100%,6.00,0.00,0.00,1.00,4.00,1704.3,0.134,309,637.4,0.068,418,571.69,0.218,200,235.06,0.323,126
E05000492,Stratford and New Town,Newham,27615,22136,4386,21576,1653,20%,219,8914.0,124,28.5,154,5784,E01003619,100%,9.00,0.00,0.00,2.00,9.00,3734.9,0.135,304,1432.4,0.065,438,1129.28,0.257,111,657.73,0.398,53
E05000493,Wall End,Newham,15351,9583,4035,9748,1568,21%,215,9364.6,152,27.8,168,6357,E01003622,100%,9.00,0.00,0.00,1.00,9.00,2444.3,0.159,219,837.8,0.087,278,627.71,0.156,366,562.39,0.359,92
E05000494,West Ham,Newham,16382,11116,3305,11226,1851,25%,179,9355.4,151,28.2,160,4440,E01003633,100%,8.00,0.00,0.00,1.00,8.00,2822.6,0.172,171,1118.8,0.101,208,732.65,0.222,188,601.15,0.325,125
E05011234,Aldborough,Redbridge,14540,8771,3261,8837,2442,0%,438,17750.8,399,16.4,419,14102,E01003639,100%,7.52,0.00,0.00,0.00,3.52,1562.6,0.107,414,599.9,0.068,416,350.41,0.107,483,456.44,0.187,373
E05011235,Barkingside,Redbridge,14019,8418,2790,8370,2859,0%,438,22422.9,523,12.0,527,16400,E01003638,48%,8.48,0.00,0.00,0.00,0.48,1274.1,0.091,463,457.4,0.054,513,249.94,0.090,527,501.90,0.176,391
E05011236,Bridge,Redbridge,13724,8418,2747,8424,2553,3%,392,19344.5,441,15.6,440,4343,E01003761,12%,7.53,0.00,0.00,0.12,3.12,1360.1,0.099,440,614.0,0.073,388,343.69,0.125,439,384.58,0.151,439
E05011237,Chadwell,Redbridge,16325,9883,4193,10021,2111,0%,438,17185.9,387,16.9,409,14098,E01003666,100%,8.12,0.00,0.00,0.00,3.00,2202.3,0.135,306,784.1,0.079,343,666.56,0.159,355,441.90,0.209,330
E05011238,Churchfields,Redbridge,15616,9819,3281,9793,2543,9%,309,21509.7,497,14.0,478,4343,E01003761,88%,8.76,0.00,0.00,0.88,0.88,1438.3,0.092,457,573.0,0.058,487,380.77,0.116,459,392.82,0.154,435
E05011239,Clayhall,Redbridge,13459,7779,2942,7851,2666,0%,438,23836.5,546,10.7,550,18092,E01003681,100%,7.64,0.00,0.00,0.00,0.00,1082.4,0.080,505,347.1,0.045,581,198.93,0.068,579,446.82,0.168,407
E05011240,Clementswood,Redbridge,13503,8118,3687,8206,1611,3%,387,12226.9,253,23.1,269,7418,E01003689,56%,6.89,0.00,0.00,0.00,6.89,2276.2,0.169,184,711.0,0.088,276,646.95,0.175,307,499.88,0.310,151
E05011241,Cranbrook,Redbridge,13015,7983,2674,7940,2401,0%,438,18140.3,410,16.0,432,12102,E01003695,100%,7.77,0.00,0.00,0.00,2.77,1605.0,0.123,349,512.6,0.064,443,338.52,0.127,432,540.64,0.225,297
E05011242,Fairlop,Redbridge,13424,8180,2737,8267,2420,0%,438,17878.0,403,16.1,428,15466,E01003704,100%,7.06,0.00,0.00,0.00,2.00,1373.0,0.102,428,563.7,0.069,411,332.21,0.121,446,422.68,0.175,394
E05011243,Fullwell,Redbridge,14754,8484,3149,8523,3082,10%,299,18223.0,411,17.1,400,4305,E01003712,100%,8.90,0.00,0.00,1.00,2.00,1882.4,0.128,338,701.1,0.083,313,438.40,0.139,395,595.49,0.193,362
E05011244,Goodmayes,Redbridge,14728,9227,3639,9265,1825,1%,421,13595.2,289,21.2,307,9264,E01032581,100%,7.27,0.00,0.00,0.00,6.27,2250.8,0.153,240,773.7,0.084,303,603.55,0.166,339,498.19,0.273,203
E05011245,Hainault,Redbridge,13961,8317,3128,8374,2459,16%,245,10408.2,190,26.2,205,7199,E01003726,100%,8.00,0.00,0.00,0.00,8.00,2427.1,0.174,159,1036.9,0.125,82,662.55,0.212,213,545.88,0.222,306
